Field_Name,Tooltip,Field_Type,Needs_Review,Review_Reasons,Matched_Rules,Match_Explanations,Domains,Persona,Biographical_Subcategories,Part,Part_Num,Line,Subline,Base_Field_Type,Position
Pt1Line3_Yes[0],"Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 3. If the beneficiary is your brother / sister, are you related by adoption? Select Yes.",Btn,False,,boolean(2.00),Field type is button/checkbox,[],"[('applicant', 2.0), ('family', 1.8)]",[],Part 1,1,Line 3,,Yes,0
Pt1Line4_No[0],Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 4. Did you gain lawful permanent resident status or citizenship through adoption? Select No.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('immigration', 0.8999999999999999)]","[('applicant', 2.0), ('family', 1.8)]",[],Part 1,1,Line 4,,No,0
Pt1Line4_Yes[0],Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 4. Did you gain lawful permanent resident status or citizenship through adoption? Select Yes.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('immigration', 0.8999999999999999)]","[('applicant', 2.0), ('family', 1.8)]",[],Part 1,1,Line 4,,Yes,0
Pt2Line10_AptSteFlrNumber[0],"Part 2. Information About You (Petitioner). Mailing Address. 10. C. Enter Apartment, Suite or Floor Number.",Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 10,,AptSteFlrNumber,0
Pt2Line10_CityOrTown[0],Part 2. Information About You (Petitioner). Mailing Address. 10. D. Enter City or Town.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 10,,CityOrTown,0
Pt2Line10_Country[0],Part 2. Information About You (Petitioner). Mailing Address. 10. I. Enter Country.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 10,,Country,0
Pt2Line10_InCareofName[0],Part 2. Information About You (Petitioner). Mailing Address. 10. A. Enter In Care Of Name.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('core_identity', 1.8), ('contact_info', 1.6)]",Part 2,2,Line 10,,InCareofName,0
Pt2Line10_PostalCode[0],Part 2. Information About You (Petitioner). Mailing Address. 10. H. Enter Postal Code.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 10,,PostalCode,0
Pt2Line10_Province[0],Part 2. Information About You (Petitioner). Mailing Address. 10. G. Enter Province.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 10,,Province,0
Pt2Line10_State[0],Part 2. Information About You (Petitioner). Mailing Address. 10. E. Select State from List of States.,Ch,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 10,,State,0
Pt2Line10_StreetNumberName[0],Part 2. Information About You (Petitioner). Mailing Address. 10. B. Enter Street Number and Name.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('core_identity', 1.8), ('contact_info', 1.6)]",Part 2,2,Line 10,,StreetNumberName,0
Pt2Line10_Unit[0],Part 2. Information About You (Petitioner). Mailing Address. 10. C. Select Apartment.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 10,,Unit,0
Pt2Line10_Unit[1],Part 2. Information About You (Petitioner). Mailing Address. 10. C. Select Suite.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 10,,Unit,1
Pt2Line10_Unit[2],Part 2. Information About You (Petitioner). Mailing Address. 10. C. Select Floor.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 10,,Unit,2
Pt2Line10_ZipCode[0],Part 2. Information About You (Petitioner). Mailing Address. 10. F. Enter Zip Code.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 10,,ZipCode,0
Pt2Line11_No[0],"Part 2. Information About You (Petitioner). Mailing Address. 11. Is your current mailing address the same as your physical address? Select No. If you answered ""No"" to Item Number 11., provide information on your physical address in Item Numbers 12. A. through 13. B.",Btn,False,,,,[],[],[],Part 2,2,Line 11,,No,0
Pt2Line11_SSN[0],"Part 2. Information About You (Petitioner). 3. Enter U.S. Social Security Number, if any.",Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('core_identity', 1.8)]",Part 2,2,Line 11,,SSN,0
Pt2Line11_Yes[0],Part 2. Information About You (Petitioner). Mailing Address. 11. Is your current mailing address the same as your physical address? Select Yes.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 11,,Yes,0
Pt2Line12_AptSteFlrNumber[0],"Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. B. Enter Apartment, Suite or Floor Number.",Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 12,,AptSteFlrNumber,0
Pt2Line12_CityOrTown[0],Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. C. Enter City or Town.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 12,,CityOrTown,0
Pt2Line12_Country[0],Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. H. Enter Country.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 12,,Country,0
Pt2Line12_PostalCode[0],Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. G. Enter Postal Code.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 12,,PostalCode,0
Pt2Line12_Province[0],Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. F. Enter Province.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 12,,Province,0
Pt2Line12_State[0],Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. D. Select State from List of States.,Ch,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 12,,State,0
Pt2Line12_StreetNumberName[0],"Part 2. Information About You (Petitioner). Address History. Provide your physical addresses for the last five years, whether inside or outside the United States. Provide your current address first if it is different from your mailing address in Item Numbers 10. A. through 10. I. Physical Address 1. 12. A. Enter Street Number and Name.",Tx,False,,,,[],[],[],Part 2,2,Line 12,,StreetNumberName,0
Pt2Line12_Unit[0],Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. B. Select Apartment.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 12,,Unit,0
Pt2Line12_Unit[1],Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. B. Select Suite.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 12,,Unit,1
Pt2Line12_Unit[2],Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. B. Select Floor.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 12,,Unit,2
Pt2Line12_ZipCode[0],Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. E. Enter Zip Code.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 12,,ZipCode,0
Pt2Line13a_DateFrom[0],"Part 2. Information About You (Petitioner). Address History. Physical Address 1. 13. A. Enter Date From. Enter as 2 digit month, 2 digit day and 4 digit year.",Tx,False,,date(1.50),Date field,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 13,a,DateFrom,0
Pt2Line13b_DateTo[0],Part 2. Information About You (Petitioner). Address History. Physical Address 1. 13. B. Date To. Present. No Entry.,Tx,False,,date(1.50),Date field,"[('biographical', 0.3), ('immigration', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 13,b,DateTo,0
Pt2Line14_AptSteFlrNumber[0],"Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. B. Enter Apartment, Suite or Floor Number.",Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 14,,AptSteFlrNumber,0
Pt2Line14_CityOrTown[0],Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. C. Enter City or Town.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 14,,CityOrTown,0
Pt2Line14_Country[0],Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. H. Enter Country.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 14,,Country,0
Pt2Line14_PostalCode[0],Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. G. Enter Postal Code.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 14,,PostalCode,0
Pt2Line14_Province[0],Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. F. Enter Province.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 14,,Province,0
Pt2Line14_State[0],Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. D. Select State from List of States.,Ch,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 14,,State,0
Pt2Line14_StreetNumberName[0],Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. A. Enter Street Number and Name.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('core_identity', 1.8), ('contact_info', 1.6)]",Part 2,2,Line 14,,StreetNumberName,0
Pt2Line14_Unit[0],Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. B. Select Apartment.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 14,,Unit,0
Pt2Line14_Unit[1],Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. B. Select Suite.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 14,,Unit,1
Pt2Line14_Unit[2],Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. B. Select Floor.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 14,,Unit,2
Pt2Line14_ZipCode[0],Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. E. Enter Zip Code.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 14,,ZipCode,0
Pt2Line15a_DateFrom[0],"Part 2. Information About You (Petitioner). Address History. Physical Address 2. 15. A. Enter Date From. Enter as 2 digit month, 2 digit day and 4 digit year.",Tx,False,,date(1.50),Date field,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 15,a,DateFrom,0
Pt2Line15b_DateTo[0],"Part 2. Information About You (Petitioner). Address History. Physical Address 2. 15. B. Enter Date To. Enter as 2 digit month, 2 digit day and 4 digit year.",Tx,False,,date(1.50),Date field,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('contact_info', 1.6)]",Part 2,2,Line 15,b,DateTo,0
Pt2Line16_NumberofMarriages[0],Part 2. Information About You (Petitioner). Your Marital Information. 16. How many times have you been married? Enter Number of Times Married.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('marital_status', 1.7)]",Part 2,2,Line 16,,NumberofMarriages,0
Pt2Line17_Annulled[0],Part 2. Information About You (Petitioner). Your Marital Information. 17. Current Marital Status. Select Annulled.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3), ('immigration', 0.3)]","[('applicant', 2.0)]","[('marital_status', 1.7)]",Part 2,2,Line 17,,Annulled,0
Pt2Line17_Divorced[0],Part 2. Information About You (Petitioner). Your Marital Information. 17. Current Marital Status. Select Divorced.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3), ('immigration', 0.3)]","[('applicant', 2.0)]","[('marital_status', 1.7)]",Part 2,2,Line 17,,Divorced,0
Pt2Line17_Married[0],Part 2. Information About You (Petitioner). Your Marital Information. 17. Current Marital Status. Select Married.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3), ('immigration', 0.3)]","[('applicant', 2.0)]","[('marital_status', 1.7)]",Part 2,2,Line 17,,Married,0
Pt2Line17_Separated[0],Part 2. Information About You (Petitioner). Your Marital Information. 17. Current Marital Status. Select Separated.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3), ('immigration', 0.3)]","[('applicant', 2.0)]","[('marital_status', 1.7)]",Part 2,2,Line 17,,Separated,0
Pt2Line17_Single[0],"Part 2. Information About You (Petitioner). Your Marital Information. 17. Current Marital Status. Select Single, Never Married.",Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3), ('immigration', 0.3)]","[('applicant', 2.0)]","[('marital_status', 1.7)]",Part 2,2,Line 17,,Single,0
Pt2Line17_Widowed[0],Part 2. Information About You (Petitioner). Your Marital Information. 17. Current Marital Status. Select Widowed.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3), ('immigration', 0.3)]","[('applicant', 2.0)]","[('marital_status', 1.7)]",Part 2,2,Line 17,,Widowed,0
Pt2Line18_DateOfMarriage[0],"Part 2. Information About You (Petitioner). Your Marital Information. 18. Enter Date of Current Marriage (if currently married). Enter as 2 digit month, 2 digit day and 4 digit year.",Tx,False,,date(1.50),Date field,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('marital_status', 1.7)]",Part 2,2,Line 18,,DateOfMarriage,0
Pt2Line19a_CityTown[0],"Part 2. Information About You (Petitioner). Place of Your Current Marriage, if married. 19. A. Enter City or Town.",Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('marital_status', 1.7), ('contact_info', 1.6)]",Part 2,2,Line 19,a,CityTown,0
Pt2Line19b_State[0],"Part 2. Information About You (Petitioner). Place of Your Current Marriage, if married. 19. B. Select State from List of States.",Ch,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('marital_status', 1.7), ('contact_info', 1.6)]",Part 2,2,Line 19,b,State,0
Pt2Line19c_Province[0],"Part 2. Information About You (Petitioner). Place of Your Current Marriage, if married. 19. C. Enter Province.",Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('marital_status', 1.7)]",Part 2,2,Line 19,c,Province,0
Pt2Line19d_Country[0],"Part 2. Information About You (Petitioner). Place of Your Current Marriage, if married. 19. D. Enter Country.",Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('marital_status', 1.7), ('contact_info', 1.6)]",Part 2,2,Line 19,d,Country,0
Pt2Line1_AlienNumber[0],"Part 2. Information About You (Petitioner). 1. Enter Alien Registration Number (A. Number), if any.",Tx,False,,,,"[('biographical', 0.3), ('immigration', 0.3)]","[('applicant', 2.0)]",[],Part 2,2,Line 1,,AlienNumber,0
Pt2Line1_AlienNumber[1],"Part 9. Additional Information. 2. Alien Registration Number (A. Number), if any. This is a read only field. This field pre-populates from page 1.",Tx,True,No persona identified,,,"[('biographical', 0.3), ('immigration', 0.3)]",[],[],Part 2,2,Line 1,,AlienNumber,1
Pt2Line20b_GivenName[0],"Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 1. 20. B. Enter Given Name (First Name).",Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0), ('family', 1.8)]","[('core_identity', 1.8), ('marital_status', 1.7)]",Part 2,2,Line 20,b,GivenName,0
Pt2Line20c_MiddleName[0],"Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 1. 20. C. Enter Middle Name.",Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0), ('family', 1.8)]","[('core_identity', 1.8), ('marital_status', 1.7)]",Part 2,2,Line 20,c,MiddleName,0
Pt2Line21_DateMarriageEnded[0],"Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 1. 21. Enter Date Marriage Ended. Enter as 2 digit month, 2 digit day and 4 digit year.",Tx,False,,date(1.50),Date field,"[('biographical', 0.3)]","[('applicant', 2.0), ('family', 1.8)]","[('core_identity', 1.8), ('marital_status', 1.7)]",Part 2,2,Line 21,,DateMarriageEnded,0
Pt2Line22a_FamilyName[0],"Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 2. 22. A. Enter Family Name (Last Name).",Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0), ('family', 1.8)]","[('core_identity', 1.8), ('marital_status', 1.7)]",Part 2,2,Line 22,a,FamilyName,0
Pt2Line22b_GivenName[0],"Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 2. 22. B. Enter Given Name (First Name).",Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0), ('family', 1.8)]","[('core_identity', 1.8), ('marital_status', 1.7)]",Part 2,2,Line 22,b,GivenName,0
Pt2Line22c_MiddleName[0],"Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 2. 22. C. Enter Middle Name.",Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0), ('family', 1.8)]","[('core_identity', 1.8), ('marital_status', 1.7)]",Part 2,2,Line 22,c,MiddleName,0
Pt2Line23_DateMarriageEnded[0],"Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 2. 23. Enter Date Marriage Ended. Enter as 2 digit month, 2 digit day and 4 digit year.",Tx,False,,date(1.50),Date field,"[('biographical', 0.3)]","[('applicant', 2.0), ('family', 1.8)]","[('core_identity', 1.8), ('marital_status', 1.7)]",Part 2,2,Line 23,,DateMarriageEnded,0
Pt2Line23a_checkbox[0],"Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). If you are a U.S. citizen, complete Item Number 37. 37. My citizenship was acquired through (Select only one box). Select Birth in the United States.",Btn,False,,,,[],[],[],Part 2,2,Line 23,a,checkbox,0
Pt2Line23b_checkbox[0],Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). 37. My citizenship was acquired through (Select only one box). Select Naturalization.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('immigration', 0.6), ('biographical', 0.3)]","[('applicant', 2.0)]",[],Part 2,2,Line 23,b,checkbox,0
Pt2Line23c_checkbox[0],Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). 37. My citizenship was acquired through (Select only one box). Select Parents.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3), ('immigration', 0.3)]","[('applicant', 2.0), ('family', 1.8)]","[('family_info', 1.7)]",Part 2,2,Line 23,c,checkbox,0
Pt2Line24_FamilyName[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. Full Name of Parent One. 24. A. Enter Family Name (Last Name).,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0), ('family', 1.8)]","[('core_identity', 1.8), ('family_info', 1.7)]",Part 2,2,Line 24,,FamilyName,0
Pt2Line24_GivenName[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. Full Name of Parent One. 24. B. Enter Given Name (First Name).,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0), ('family', 1.8)]","[('core_identity', 1.8), ('family_info', 1.7)]",Part 2,2,Line 24,,GivenName,0
Pt2Line24_MiddleName[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. Full Name of Parent One. 24. C. Enter Middle Name.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0), ('family', 1.8)]","[('core_identity', 1.8), ('family_info', 1.7)]",Part 2,2,Line 24,,MiddleName,0
Pt2Line25_DateofBirth[0],"Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. 25. Enter Date of Birth. Enter as 2 digit month, 2 digit day and 4 digit year.",Tx,False,,date(1.50),Date field,"[('biographical', 0.3)]","[('applicant', 2.0), ('family', 1.8)]","[('core_identity', 1.8), ('family_info', 1.7)]",Part 2,2,Line 25,,DateofBirth,0
Pt2Line26_Female[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. 26. Sex. Select Female.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3)]","[('applicant', 2.0), ('family', 1.8)]","[('core_identity', 1.8), ('family_info', 1.7)]",Part 2,2,Line 26,,Female,0
Pt2Line26_Male[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. 26. Sex. Select Male.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3)]","[('applicant', 2.0), ('family', 1.8)]","[('core_identity', 1.8), ('family_info', 1.7)]",Part 2,2,Line 26,,Male,0
Pt2Line27_CountryofBirth[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. 27. Enter Country of Birth.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0), ('family', 1.8)]","[('core_identity', 1.8), ('family_info', 1.7), ('contact_info', 1.6)]",Part 2,2,Line 27,,CountryofBirth,0
Pt2Line28_CityTownOrVillageOfResidence[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. 28. Enter City / Town / Village of Residence.,Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0), ('family', 1.8)]","[('family_info', 1.7), ('contact_info', 1.6)]",Part 2,2,Line 28,,CityTownOrVillageOfResidence,0
