Form,Field Name,Type,Parent,Persona,Domain,Value Type,Value,Screen Label,Tooltip
i130.pdf,Pt1Line2_InWedlock[0],/Btn,#subform[0],beneficiary,personal,selection,InWedlock,Child was born to parents who were married to each other at the time of the child's birth.,"Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 2. If you are filing this petition for your child or parent, select the box that describes your relationship (Select only one box). Select Child was born to parents who were married to each other at the time of the child's birth. "
i130.pdf,Pt1Line2_AdoptedChild[0],/Btn,#subform[0],beneficiary,personal,selection,AdoptedChild,Child was adopted (not an Orphan or Hague Convention adoptee).,"Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 2. If you are filing this petition for your child or parent, select the box that describes your relationship (Select only one box). Select Child was adopted (not an Orphan or Hague Convention adoptee)."
i130.pdf,Pt1Line2_Stepchild[0],/Btn,#subform[0],beneficiary,personal,selection,Stepchild,Stepchild / Stepparent.,"Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 2. If you are filing this petition for your child or parent, select the box that describes your relationship (Select only one box). Select Stepchild / Stepparent."
i130.pdf,Pt1Line2_OutOfWedlock[0],/Btn,#subform[0],beneficiary,personal,selection,OutOfWedlock,Child was born to parents who were not married to each other at the time of the child's birth.,"Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 2. If you are filing this petition for your child or parent, select the box that describes your relationship (Select only one box). Select Child was born to parents who were not married to each other at the time of the child's birth."
i130.pdf,Pt1Line3_Yes[0],/Btn,#subform[0],beneficiary,personal,boolean,True,Yes.,"Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 3. If the beneficiary is your brother / sister, are you related by adoption? Select Yes."
i130.pdf,Pt1Line4_No[0],/Btn,#subform[0],beneficiary,personal,selection,No,No.,Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 4. Did you gain lawful permanent resident status or citizenship through adoption? Select No.
i130.pdf,Pt1Line4_Yes[0],/Btn,#subform[0],beneficiary,personal,boolean,True,Yes.,Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 4. Did you gain lawful permanent resident status or citizenship through adoption? Select Yes.
i130.pdf,Pt1Line3_No[0],/Btn,#subform[0],beneficiary,personal,selection,No,No.,"Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 3. If the beneficiary is your brother / sister, are you related by adoption? Select No."
i130.pdf,Pt2Line4a_FamilyName[0],/Tx,#subform[0],applicant,personal,,,Family Name (Last Name).,Part 2. Information About You (Petitioner). Your Full Name. 4. A. Enter Family Name (Last Name).
i130.pdf,Pt2Line4b_GivenName[0],/Tx,#subform[0],applicant,personal,,,Given Name (First Name).,Part 2. Information About You (Petitioner). Your Full Name. 4. B. Enter Given Name (First Name).
i130.pdf,Pt2Line4c_MiddleName[0],/Tx,#subform[0],applicant,personal,,,Middle Name.,Part 2. Information About You (Petitioner). Your Full Name. 4. C. Enter Middle Name.
i130.pdf,Pt2Line1_AlienNumber[0],/Tx,#area[4],applicant,immigration,,,"Number), if any.","Part 2. Information About You (Petitioner). 1. Enter Alien Registration Number (A. Number), if any."
i130.pdf,Pt2Line2_USCISOnlineActNumber[0],/Tx,#area[5],applicant,personal,,,"U S C I S Online Account Number, if any.","Part 2. Information About You (Petitioner). 2. Enter U S C I S Online Account Number, if any."
i130.pdf,Pt2Line8_DateofBirth[0],/Tx,#subform[1],applicant,personal,,,"as 2 digit month, 2 digit day and 4 digit year.","Part 2. Information About You (Petitioner). Other Information. 8. Enter Date of Birth. Enter as 2 digit month, 2 digit day and 4 digit year."
i130.pdf,Pt2Line9_Male[0],/Btn,#subform[1],applicant,personal,selection,Male,Male.,Part 2. Information About You (Petitioner). Other Information. 9. Sex. Select Male.
i130.pdf,Pt2Line9_Female[0],/Btn,#subform[1],applicant,personal,selection,Female,Female.,Part 2. Information About You (Petitioner). Other Information. 9. Sex. Select Female.
i130.pdf,Pt2Line7_CountryofBirth[0],/Tx,#subform[1],applicant,personal,,,Country of Birth.,Part 2. Information About You (Petitioner). Other Information. 7. Enter Country of Birth.
i130.pdf,Pt2Line11_Yes[0],/Btn,#subform[1],applicant,personal,boolean,True,Yes.,Part 2. Information About You (Petitioner). Mailing Address. 11. Is your current mailing address the same as your physical address? Select Yes.
i130.pdf,Pt2Line11_No[0],/Btn,#subform[1],applicant,personal,boolean,False,B.,"Part 2. Information About You (Petitioner). Mailing Address. 11. Is your current mailing address the same as your physical address? Select No. If you answered ""No"" to Item Number 11., provide information on your physical address in Item Numbers 12. A. through 13. B."
i130.pdf,Pt2Line10_StreetNumberName[0],/Tx,#subform[1],applicant,personal,,,Street Number and Name.,Part 2. Information About You (Petitioner). Mailing Address. 10. B. Enter Street Number and Name.
i130.pdf,Pt2Line10_Unit[0],/Btn,#subform[1],applicant,personal,selection,Unit,Apartment.,Part 2. Information About You (Petitioner). Mailing Address. 10. C. Select Apartment.
i130.pdf,Pt2Line10_Unit[1],/Btn,#subform[1],applicant,personal,selection,Unit,Suite.,Part 2. Information About You (Petitioner). Mailing Address. 10. C. Select Suite.
i130.pdf,Pt2Line10_Unit[2],/Btn,#subform[1],applicant,personal,selection,Unit,Floor.,Part 2. Information About You (Petitioner). Mailing Address. 10. C. Select Floor.
i130.pdf,Pt2Line10_AptSteFlrNumber[0],/Tx,#subform[1],applicant,personal,,,"Apartment, Suite or Floor Number.","Part 2. Information About You (Petitioner). Mailing Address. 10. C. Enter Apartment, Suite or Floor Number."
i130.pdf,Pt2Line10_CityOrTown[0],/Tx,#subform[1],applicant,personal,,,City or Town.,Part 2. Information About You (Petitioner). Mailing Address. 10. D. Enter City or Town.
i130.pdf,Pt2Line10_Province[0],/Tx,#subform[1],applicant,personal,,,Province.,Part 2. Information About You (Petitioner). Mailing Address. 10. G. Enter Province.
i130.pdf,Pt2Line10_PostalCode[0],/Tx,#subform[1],applicant,personal,,,Postal Code.,Part 2. Information About You (Petitioner). Mailing Address. 10. H. Enter Postal Code.
i130.pdf,Pt2Line10_ZipCode[0],/Tx,#subform[1],applicant,personal,,,Zip Code.,Part 2. Information About You (Petitioner). Mailing Address. 10. F. Enter Zip Code.
i130.pdf,Pt2Line10_State[0],/Ch,#subform[1],applicant,personal,,,State from List of States.,Part 2. Information About You (Petitioner). Mailing Address. 10. E. Select State from List of States.
i130.pdf,Pt2Line10_Country[0],/Tx,#subform[1],applicant,personal,,,Country.,Part 2. Information About You (Petitioner). Mailing Address. 10. I. Enter Country.
i130.pdf,Pt2Line10_InCareofName[0],/Tx,#subform[1],applicant,personal,,,In Care Of Name.,Part 2. Information About You (Petitioner). Mailing Address. 10. A. Enter In Care Of Name.
i130.pdf,Pt2Line14_StreetNumberName[0],/Tx,#subform[1],applicant,personal,,,Street Number and Name.,Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. A. Enter Street Number and Name.
i130.pdf,Pt2Line14_Unit[0],/Btn,#subform[1],applicant,personal,selection,Unit,Apartment.,Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. B. Select Apartment.
i130.pdf,Pt2Line14_Unit[1],/Btn,#subform[1],applicant,personal,selection,Unit,Suite.,Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. B. Select Suite.
i130.pdf,Pt2Line14_Unit[2],/Btn,#subform[1],applicant,personal,selection,Unit,Floor.,Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. B. Select Floor.
i130.pdf,Pt2Line14_AptSteFlrNumber[0],/Tx,#subform[1],applicant,personal,,,"Apartment, Suite or Floor Number.","Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. B. Enter Apartment, Suite or Floor Number."
i130.pdf,Pt2Line14_CityOrTown[0],/Tx,#subform[1],applicant,personal,,,City or Town.,Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. C. Enter City or Town.
i130.pdf,Pt2Line14_State[0],/Ch,#subform[1],applicant,personal,,,State from List of States.,Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. D. Select State from List of States.
i130.pdf,Pt2Line14_ZipCode[0],/Tx,#subform[1],applicant,personal,,,Zip Code.,Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. E. Enter Zip Code.
i130.pdf,Pt2Line14_Province[0],/Tx,#subform[1],applicant,personal,,,Province.,Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. F. Enter Province.
i130.pdf,Pt2Line14_Country[0],/Tx,#subform[1],applicant,personal,,,Country.,Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. H. Enter Country.
i130.pdf,Pt2Line14_PostalCode[0],/Tx,#subform[1],applicant,personal,,,Postal Code.,Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. G. Enter Postal Code.
i130.pdf,Pt2Line13a_DateFrom[0],/Tx,#subform[1],applicant,personal,,,"as 2 digit month, 2 digit day and 4 digit year.","Part 2. Information About You (Petitioner). Address History. Physical Address 1. 13. A. Enter Date From. Enter as 2 digit month, 2 digit day and 4 digit year."
i130.pdf,Pt2Line15a_DateFrom[0],/Tx,#subform[1],applicant,personal,,,"as 2 digit month, 2 digit day and 4 digit year.","Part 2. Information About You (Petitioner). Address History. Physical Address 2. 15. A. Enter Date From. Enter as 2 digit month, 2 digit day and 4 digit year."
i130.pdf,Pt2Line15b_DateTo[0],/Tx,#subform[1],applicant,personal,,,"as 2 digit month, 2 digit day and 4 digit year.","Part 2. Information About You (Petitioner). Address History. Physical Address 2. 15. B. Enter Date To. Enter as 2 digit month, 2 digit day and 4 digit year."
i130.pdf,Pt2Line12_StreetNumberName[0],/Tx,#subform[1],applicant,personal,,,Street Number and Name.,"Part 2. Information About You (Petitioner). Address History. Provide your physical addresses for the last five years, whether inside or outside the United States. Provide your current address first if it is different from your mailing address in Item Numbers 10. A. through 10. I. Physical Address 1. 12. A. Enter Street Number and Name."
i130.pdf,Pt2Line12_Unit[0],/Btn,#subform[1],applicant,personal,selection,Unit,Apartment.,Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. B. Select Apartment.
i130.pdf,Pt2Line12_Unit[1],/Btn,#subform[1],applicant,personal,selection,Unit,Suite.,Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. B. Select Suite.
i130.pdf,Pt2Line12_Unit[2],/Btn,#subform[1],applicant,personal,selection,Unit,Floor.,Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. B. Select Floor.
i130.pdf,Pt2Line12_AptSteFlrNumber[0],/Tx,#subform[1],applicant,personal,,,"Apartment, Suite or Floor Number.","Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. B. Enter Apartment, Suite or Floor Number."
i130.pdf,Pt2Line12_CityOrTown[0],/Tx,#subform[1],applicant,personal,,,City or Town.,Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. C. Enter City or Town.
i130.pdf,Pt2Line12_State[0],/Ch,#subform[1],applicant,personal,,,State from List of States.,Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. D. Select State from List of States.
i130.pdf,Pt2Line12_ZipCode[0],/Tx,#subform[1],applicant,personal,,,Zip Code.,Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. E. Enter Zip Code.
i130.pdf,Pt2Line12_Province[0],/Tx,#subform[1],applicant,personal,,,Province.,Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. F. Enter Province.
i130.pdf,Pt2Line12_Country[0],/Tx,#subform[1],applicant,personal,,,Country.,Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. H. Enter Country.
i130.pdf,Pt2Line12_PostalCode[0],/Tx,#subform[1],applicant,personal,,,Postal Code.,Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. G. Enter Postal Code.
i130.pdf,Pt2Line6_CityTownOfBirth[0],/Tx,#subform[1],applicant,personal,,,City / Town / Village of Birth.,Part 2. Information About You (Petitioner). Other Information. 6. Enter City / Town / Village of Birth.
i130.pdf,Pt2Line5a_FamilyName[0],/Tx,#subform[1],applicant,personal,,,Family Name (Last Name).,"Part 2. Information About You (Petitioner). Other Names Used, if any. Provide all other names you have ever used, including aliases, maiden name, and nicknames. 5. A. Enter Family Name (Last Name)."
i130.pdf,Pt2Line5b_GivenName[0],/Tx,#subform[1],applicant,personal,,,Given Name (First Name).,"Part 2. Information About You (Petitioner). Other Names Used, if any. 5. B. Enter Given Name (First Name)."
i130.pdf,Pt2Line5c_MiddleName[0],/Tx,#subform[1],applicant,personal,,,Middle Name.,"Part 2. Information About You (Petitioner). Other Names Used, if any. 5. C. Enter Middle Name."
i130.pdf,Pt2Line16_NumberofMarriages[0],/Tx,#subform[1],applicant,personal,,,Number of Times Married.,Part 2. Information About You (Petitioner). Your Marital Information. 16. How many times have you been married? Enter Number of Times Married. 
i130.pdf,Pt2Line17_Widowed[0],/Btn,#subform[1],applicant,personal,selection,Widowed,Widowed.,Part 2. Information About You (Petitioner). Your Marital Information. 17. Current Marital Status. Select Widowed.
i130.pdf,Pt2Line17_Annulled[0],/Btn,#subform[1],applicant,personal,selection,Annulled,Annulled.,Part 2. Information About You (Petitioner). Your Marital Information. 17. Current Marital Status. Select Annulled.
i130.pdf,Pt2Line17_Separated[0],/Btn,#subform[1],applicant,personal,selection,Separated,Separated.,Part 2. Information About You (Petitioner). Your Marital Information. 17. Current Marital Status. Select Separated.
i130.pdf,Pt2Line17_Single[0],/Btn,#subform[1],applicant,personal,selection,Single,"Single, Never Married.","Part 2. Information About You (Petitioner). Your Marital Information. 17. Current Marital Status. Select Single, Never Married."
i130.pdf,Pt2Line17_Married[0],/Btn,#subform[1],applicant,personal,selection,Married,Married.,Part 2. Information About You (Petitioner). Your Marital Information. 17. Current Marital Status. Select Married.
i130.pdf,Pt2Line17_Divorced[0],/Btn,#subform[1],applicant,personal,selection,Divorced,Divorced.,Part 2. Information About You (Petitioner). Your Marital Information. 17. Current Marital Status. Select Divorced.
i130.pdf,Pt2Line13b_DateTo[0],/Tx,#subform[1],applicant,personal,,,No Entry.,Part 2. Information About You (Petitioner). Address History. Physical Address 1. 13. B. Date To. Present. No Entry.
i130.pdf,PtLine20a_FamilyName[0],/Tx,#subform[2],spouse,personal,,,Family Name (Last Name).,"Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Provide information on your current spouse (if currently married) first and then list all your prior spouses, if any. Spouse 1. 20. A. Enter Family Name (Last Name)."
i130.pdf,Pt2Line20b_GivenName[0],/Tx,#subform[2],spouse,personal,,,Given Name (First Name).,"Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 1. 20. B. Enter Given Name (First Name)."
i130.pdf,Pt2Line20c_MiddleName[0],/Tx,#subform[2],spouse,personal,,,Middle Name.,"Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 1. 20. C. Enter Middle Name."
i130.pdf,Pt2Line23_DateMarriageEnded[0],/Tx,#subform[2],spouse,personal,,,"as 2 digit month, 2 digit day and 4 digit year.","Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 2. 23. Enter Date Marriage Ended. Enter as 2 digit month, 2 digit day and 4 digit year."
i130.pdf,Pt2Line22c_MiddleName[0],/Tx,#subform[2],spouse,personal,,,Middle Name.,"Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 2. 22. C. Enter Middle Name."
i130.pdf,Pt2Line22b_GivenName[0],/Tx,#subform[2],spouse,personal,,,Given Name (First Name).,"Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 2. 22. B. Enter Given Name (First Name)."
i130.pdf,Pt2Line22a_FamilyName[0],/Tx,#subform[2],spouse,personal,,,Family Name (Last Name).,"Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 2. 22. A. Enter Family Name (Last Name)."
i130.pdf,Pt2Line21_DateMarriageEnded[0],/Tx,#subform[2],spouse,personal,,,"as 2 digit month, 2 digit day and 4 digit year.","Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 1. 21. Enter Date Marriage Ended. Enter as 2 digit month, 2 digit day and 4 digit year."
i130.pdf,Pt2Line18_DateOfMarriage[0],/Tx,#subform[2],applicant,personal,,,"as 2 digit month, 2 digit day and 4 digit year.","Part 2. Information About You (Petitioner). Your Marital Information. 18. Enter Date of Current Marriage (if currently married). Enter as 2 digit month, 2 digit day and 4 digit year."
i130.pdf,Pt2Line24_FamilyName[0],/Tx,#subform[2],parent,personal,,,Family Name (Last Name).,Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. Full Name of Parent One. 24. A. Enter Family Name (Last Name).
i130.pdf,Pt2Line24_GivenName[0],/Tx,#subform[2],parent,personal,,,Given Name (First Name).,Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. Full Name of Parent One. 24. B. Enter Given Name (First Name).
i130.pdf,Pt2Line24_MiddleName[0],/Tx,#subform[2],parent,personal,,,Middle Name.,Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. Full Name of Parent One. 24. C. Enter Middle Name.
i130.pdf,Pt2Line25_DateofBirth[0],/Tx,#subform[2],parent,personal,,,"as 2 digit month, 2 digit day and 4 digit year.","Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. 25. Enter Date of Birth. Enter as 2 digit month, 2 digit day and 4 digit year."
i130.pdf,Pt2Line28_CityTownOrVillageOfResidence[0],/Tx,#subform[2],parent,personal,,,City / Town / Village of Residence.,Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. 28. Enter City / Town / Village of Residence.
i130.pdf,Pt2Line29_CountryOfResidence[0],/Tx,#subform[2],parent,immigration,,,Country of Residence.,Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. 29. Enter Country of Residence.
i130.pdf,Pt2Line27_CountryofBirth[0],/Tx,#subform[2],parent,personal,,,Country of Birth.,Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. 27. Enter Country of Birth.
i130.pdf,Pt2Line30b_GivenName[0],/Tx,#subform[2],parent,personal,,,Given Name (First Name).,Part 2. Information About You (Petitioner). Information About Your Parents. Parent Two's Information. Full Name of Parent Two. 30. B. Enter Given Name (First Name).
i130.pdf,Pt2Line30c_MiddleName[0],/Tx,#subform[2],parent,personal,,,Middle Name.,Part 2. Information About You (Petitioner). Information About Your Parents. Parent Two's Information. Full Name of Parent Two. 30. C. Enter Middle Name.
i130.pdf,Pt2Line30a_FamilyName[0],/Tx,#subform[2],parent,personal,,,Family Name (Last Name).,Part 2. Information About You (Petitioner). Information About Your Parents. Parent Two's Information. Full Name of Parent Two. 30. A. Enter Family Name (Last Name).
i130.pdf,Pt2Line31_DateofBirth[0],/Tx,#subform[2],parent,personal,,,"as 2 digit month, 2 digit day and 4 digit year.","Part 2. Information About You (Petitioner). Information About Your Parents. Parent Two's Information. 31. Enter Date of Birth. Enter as 2 digit month, 2 digit day and 4 digit year."
i130.pdf,Pt2Line34_CityTownOrVillageOfResidence[0],/Tx,#subform[2],parent,personal,,,City / Town / Village of Residence.,Part 2. Information About You (Petitioner). Information About Your Parents. Parent Two's Information. 34. Enter City / Town / Village of Residence.
i130.pdf,Pt2Line35_CountryOfResidence[0],/Tx,#subform[2],parent,immigration,,,Country of Residence.,Part 2. Information About You (Petitioner). Information About Your Parents. Parent Two's Information. 35. Enter Country of Residence.
i130.pdf,Pt2Line33_CountryofBirth[0],/Tx,#subform[2],parent,personal,,,Country of Birth.,Part 2. Information About You (Petitioner). Information About Your Parents. Parent Two's Information. 33. Enter Country of Birth.
i130.pdf,Pt2Line36_USCitizen[0],/Btn,#subform[2],applicant,personal,selection,USCitizen,Citizen.,Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). 36. I am a (Select only one box). Select U.S. Citizen. 
i130.pdf,Pt2Line36_LPR[0],/Btn,#subform[2],applicant,personal,selection,LPR,Lawful Permanent Resident.,Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). 36. I am a (Select only one box). Select Lawful Permanent Resident.
i130.pdf,Pt2Line23a_checkbox[0],/Btn,#subform[2],applicant,immigration,selection,checkbox,Birth in the United States.,"Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). If you are a U.S. citizen, complete Item Number 37. 37. My citizenship was acquired through (Select only one box). Select Birth in the United States."
i130.pdf,Pt2Line23b_checkbox[0],/Btn,#subform[2],applicant,immigration,selection,checkbox,Naturalization.,Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). 37. My citizenship was acquired through (Select only one box). Select Naturalization.
i130.pdf,Pt2Line23c_checkbox[0],/Btn,#subform[2],parent,immigration,selection,checkbox,Parents.,Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). 37. My citizenship was acquired through (Select only one box). Select Parents.
i130.pdf,Pt2Line37a_CertificateNumber[0],/Tx,#subform[2],applicant,personal,,,Certificate Number.,"Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). If you answered ""Yes"" to Item Number 38., complete the following. 39. A. Enter Certificate Number."
i130.pdf,Pt2Line36_Yes[0],/Btn,#subform[2],applicant,immigration,boolean,True,Yes.,Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). 38. Have you obtained a Certificate of Naturalization or a Certificate of Citizenship? Select Yes.
i130.pdf,Pt2Line36_No[0],/Btn,#subform[2],applicant,immigration,selection,No,No.,Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). 38. Have you obtained a Certificate of Naturalization or a Certificate of Citizenship? Select No.
i130.pdf,Pt2Line37c_DateOfIssuance[0],/Tx,#subform[2],applicant,personal,,,"as 2 digit month, 2 digit day and 4 digit year.","Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). If you answered ""Yes"" to Item Number 38., complete the following. 39. C. Enter Date of Issuance. Enter as 2 digit month, 2 digit day and 4 digit year."
i130.pdf,Pt2Line37b_PlaceOfIssuance[0],/Tx,#subform[2],applicant,personal,,,Place of Issuance.,"Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). If you answered ""Yes"" to Item Number 38., complete the following. 39. B. Enter Place of Issuance."
i130.pdf,Pt2Line26_Male[0],/Btn,#subform[2],parent,personal,selection,Male,Male.,Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. 26. Sex. Select Male.
i130.pdf,Pt2Line26_Female[0],/Btn,#subform[2],parent,personal,selection,Female,Female.,Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. 26. Sex. Select Female.
i130.pdf,Pt2Line32_Male[0],/Btn,#subform[2],parent,personal,selection,Male,Male.,Part 2. Information About You (Petitioner). Information About Your Parents. Parent Two's Information. 32. Sex. Select Male.
i130.pdf,Pt2Line32_Female[0],/Btn,#subform[2],parent,personal,selection,Female,Female.,Part 2. Information About You (Petitioner). Information About Your Parents. Parent Two's Information. 32. Sex. Select Female.
i130.pdf,Pt2Line19a_CityTown[0],/Tx,#subform[2],applicant,personal,,,City or Town.,"Part 2. Information About You (Petitioner). Place of Your Current Marriage, if married. 19. A. Enter City or Town."
i130.pdf,Pt2Line19b_State[0],/Ch,#subform[2],applicant,personal,,,State from List of States.,"Part 2. Information About You (Petitioner). Place of Your Current Marriage, if married. 19. B. Select State from List of States."
i130.pdf,Pt2Line19c_Province[0],/Tx,#subform[2],applicant,personal,,,Province.,"Part 2. Information About You (Petitioner). Place of Your Current Marriage, if married. 19. C. Enter Province."
i130.pdf,Pt2Line19d_Country[0],/Tx,#subform[2],applicant,personal,,,Country.,"Part 2. Information About You (Petitioner). Place of Your Current Marriage, if married. 19. D. Enter Country."
i130.pdf,Pt2Line40a_ClassOfAdmission[0],/Tx,#subform[3],applicant,personal,,,Class of Admission.,"Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). If you are a lawful permanent resident, complete Item Numbers 40. A. through 41. 40. A. Enter Class of Admission."
i130.pdf,Pt2Line40b_DateOfAdmission[0],/Tx,#subform[3],applicant,personal,,,"as 2 digit month, 2 digit day and 4 digit year.","Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). If you are a lawful permanent resident, complete Item Numbers 40. A. through 41. 40. B. Enter Date of Admission. Enter as 2 digit month, 2 digit day and 4 digit year."
i130.pdf,Pt2Line40d_CityOrTown[0],/Tx,#subform[3],applicant,personal,,,City or Town.,"Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). If you are a lawful permanent resident, complete Item Numbers 40. A. through 41. Place of Admission. 40. C. Enter City or Town."
i130.pdf,Pt2Line41_No[0],/Btn,#subform[3],applicant,personal,selection,No,No.,"Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). If you are a lawful permanent resident, complete Item Numbers 40. A. through 41. 41. Did you gain lawful permanent resident status through marriage to a U.S. citizen or lawful permanent resident? Select No."
i130.pdf,Pt2Line41_Yes[0],/Btn,#subform[3],applicant,personal,boolean,True,Yes.,"Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). If you are a lawful permanent resident, complete Item Numbers 40. A. through 41. 41. Did you gain lawful permanent resident status through marriage to a U.S. citizen or lawful permanent resident? Select Yes."
i130.pdf,Pt2Line41_StreetNumberName[0],/Tx,#subform[3],employer,personal,,,Street Number and Name.,Part 2. Information About You (Petitioner). Employment History. Employer 1. 43. A. Enter Street Number and Name.
i130.pdf,Pt2Line41_Unit[0],/Btn,#subform[3],employer,personal,selection,Unit,Apartment.,Part 2. Information About You (Petitioner). Employment History. Employer 1. 43. B. Select Apartment.
i130.pdf,Pt2Line41_Unit[1],/Btn,#subform[3],employer,personal,selection,Unit,Suite.,Part 2. Information About You (Petitioner). Employment History. Employer 1. 43. B. Select Suite.
i130.pdf,Pt2Line41_Unit[2],/Btn,#subform[3],employer,personal,selection,Unit,Floor.,Part 2. Information About You (Petitioner). Employment History. Employer 1. 43. B. Select Floor.
