Form,Field Name,Type,Parent,Persona,Domain,Value Type,Value,Has Tooltip
i130.pdf,Pt2Line20b_GivenName[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line20c_MiddleName[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line23_DateMarriageEnded[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line22c_MiddleName[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line22b_GivenName[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line22a_FamilyName[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line21_DateMarriageEnded[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line18_DateOfMarriage[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line24_FamilyName[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line24_GivenName[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line24_MiddleName[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line25_DateofBirth[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line28_CityTownOrVillageOfResidence[0],/Tx,#subform[2],applicant,office,,,No
i130.pdf,Pt2Line29_CountryOfResidence[0],/Tx,#subform[2],applicant,immigration,,,No
i130.pdf,Pt2Line27_CountryofBirth[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line30b_GivenName[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line30c_MiddleName[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line30a_FamilyName[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line31_DateofBirth[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line34_CityTownOrVillageOfResidence[0],/Tx,#subform[2],applicant,office,,,No
i130.pdf,Pt2Line35_CountryOfResidence[0],/Tx,#subform[2],applicant,immigration,,,No
i130.pdf,Pt2Line33_CountryofBirth[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line36_USCitizen[0],/Btn,#subform[2],applicant,office,selection,USCitizen,No
i130.pdf,Pt2Line36_LPR[0],/Btn,#subform[2],applicant,criminal,selection,LPR,No
i130.pdf,Pt2Line23a_checkbox[0],/Btn,#subform[2],applicant,immigration,selection,checkbox,No
i130.pdf,Pt2Line23b_checkbox[0],/Btn,#subform[2],applicant,immigration,selection,checkbox,No
i130.pdf,Pt2Line23c_checkbox[0],/Btn,#subform[2],applicant,immigration,selection,checkbox,No
i130.pdf,Pt2Line37a_CertificateNumber[0],/Tx,#subform[2],applicant,office,,,No
i130.pdf,Pt2Line36_Yes[0],/Btn,#subform[2],applicant,immigration,boolean,True,No
i130.pdf,Pt2Line36_No[0],/Btn,#subform[2],applicant,immigration,selection,No,No
i130.pdf,Pt2Line37c_DateOfIssuance[0],/Tx,#subform[2],applicant,office,,,No
i130.pdf,Pt2Line37b_PlaceOfIssuance[0],/Tx,#subform[2],applicant,office,,,No
i130.pdf,Pt2Line26_Male[0],/Btn,#subform[2],applicant,personal,selection,Male,No
i130.pdf,Pt2Line26_Female[0],/Btn,#subform[2],applicant,personal,selection,Female,No
i130.pdf,Pt2Line32_Male[0],/Btn,#subform[2],applicant,personal,selection,Male,No
i130.pdf,Pt2Line32_Female[0],/Btn,#subform[2],applicant,personal,selection,Female,No
i130.pdf,Pt2Line19a_CityTown[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line19b_State[0],/Ch,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line19c_Province[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line19d_Country[0],/Tx,#subform[2],applicant,personal,,,No
i130.pdf,Pt2Line40a_ClassOfAdmission[0],/Tx,#subform[3],applicant,criminal,,,No
i130.pdf,Pt2Line40b_DateOfAdmission[0],/Tx,#subform[3],applicant,criminal,,,No
i130.pdf,Pt2Line40d_CityOrTown[0],/Tx,#subform[3],applicant,criminal,,,No
i130.pdf,Pt2Line41_No[0],/Btn,#subform[3],applicant,personal,selection,No,No
i130.pdf,Pt2Line41_Yes[0],/Btn,#subform[3],applicant,personal,boolean,True,No
i130.pdf,Pt2Line41_StreetNumberName[0],/Tx,#subform[3],applicant,office,,,No
i130.pdf,Pt2Line41_Unit[0],/Btn,#subform[3],applicant,office,selection,Unit,No
i130.pdf,Pt2Line41_Unit[1],/Btn,#subform[3],applicant,office,selection,Unit,No
i130.pdf,Pt2Line41_Unit[2],/Btn,#subform[3],applicant,office,selection,Unit,No
i130.pdf,Pt2Line41_AptSteFlrNumber[0],/Tx,#subform[3],applicant,office,,,No
i130.pdf,Pt2Line41_CityOrTown[0],/Tx,#subform[3],applicant,office,,,No
i130.pdf,Pt2Line41_Province[0],/Tx,#subform[3],applicant,office,,,No
i130.pdf,Pt2Line41_PostalCode[0],/Tx,#subform[3],applicant,office,,,No
i130.pdf,Pt2Line41_ZipCode[0],/Tx,#subform[3],applicant,office,,,No
i130.pdf,Pt2Line41_State[0],/Ch,#subform[3],applicant,office,,,No
i130.pdf,Pt2Line41_Country[0],/Tx,#subform[3],applicant,immigration,,,No
i130.pdf,Pt2Line40_EmployerOrCompName[0],/Tx,#subform[3],applicant,office,,,No
i130.pdf,Pt2Line45_StreetNumberName[0],/Tx,#subform[3],applicant,office,,,No
i130.pdf,Pt2Line45_Unit[0],/Btn,#subform[3],applicant,office,selection,Unit,No
i130.pdf,Pt2Line45_Unit[1],/Btn,#subform[3],applicant,office,selection,Unit,No
i130.pdf,Pt2Line45_Unit[2],/Btn,#subform[3],applicant,office,selection,Unit,No
i130.pdf,Pt2Line45_AptSteFlrNumber[0],/Tx,#subform[3],applicant,office,,,No
i130.pdf,Pt2Line45_CityOrTown[0],/Tx,#subform[3],applicant,office,,,No
i130.pdf,Pt2Line45_Province[0],/Tx,#subform[3],applicant,office,,,No
i130.pdf,Pt2Line45_PostalCode[0],/Tx,#subform[3],applicant,office,,,No
i130.pdf,Pt2Line45_ZipCode[0],/Tx,#subform[3],applicant,office,,,No
i130.pdf,Pt2Line45_State[0],/Ch,#subform[3],applicant,office,,,No
i130.pdf,Pt2Line45_Country[0],/Tx,#subform[3],applicant,immigration,,,No
i130.pdf,Pt2Line46_Occupation[0],/Tx,#subform[3],applicant,office,,,No
i130.pdf,Pt2Line47a_DateFrom[0],/Tx,#subform[3],applicant,office,,,No
i130.pdf,Pt2Line47b_DateTo[0],/Tx,#subform[3],applicant,office,,,No
i130.pdf,Pt3Line1_Ethnicity[0],/Btn,#subform[3],applicant,personal,selection,Ethnicity,No
i130.pdf,Pt3Line1_Ethnicity[1],/Btn,#subform[3],applicant,personal,selection,Ethnicity,No
i130.pdf,Pt3Line2_Race_Black[0],/Btn,#subform[3],applicant,personal,selection,Black,No
i130.pdf,Pt3Line2_Race_AmericanIndianAlaskaNative[0],/Btn,#subform[3],applicant,personal,selection,AmericanIndianAlaskaNative,No
i130.pdf,Pt3Line2_Race_White[0],/Btn,#subform[3],applicant,personal,selection,White,No
i130.pdf,Pt3Line2_Race_Asian[0],/Btn,#subform[3],applicant,personal,selection,Asian,No
i130.pdf,Pt3Line2_Race_NativeHawaiianOtherPacificIslander[0],/Btn,#subform[3],applicant,personal,selection,NativeHawaiianOtherPacificIslander,No
i130.pdf,Pt3Line3_HeightFeet[0],/Ch,#subform[3],applicant,personal,,,No
i130.pdf,Pt3Line3_HeightInches[0],/Ch,#subform[3],applicant,personal,,,No
i130.pdf,Pt3Line4_Pound1[0],/Tx,#subform[3],applicant,personal,,,No
i130.pdf,Pt3Line4_Pound2[0],/Tx,#subform[3],applicant,personal,,,No
i130.pdf,Pt3Line4_Pound3[0],/Tx,#subform[3],applicant,personal,,,No
i130.pdf,Pt2Line44_EmployerOrOrgName[0],/Tx,#subform[3],applicant,office,,,No
i130.pdf,Pt2Line42_Occupation[0],/Tx,#subform[3],applicant,office,,,No
i130.pdf,Pt2Line43a_DateFrom[0],/Tx,#subform[3],applicant,office,,,No
i130.pdf,Pt2Line43b_DateTo[0],/Tx,#subform[3],applicant,office,,,No
i130.pdf,Pt3Line5_EyeColor[0],/Btn,#subform[3],applicant,personal,selection,EyeColor,No
i130.pdf,Pt3Line5_EyeColor[1],/Btn,#subform[3],applicant,personal,selection,EyeColor,No
i130.pdf,Pt3Line5_EyeColor[2],/Btn,#subform[3],applicant,personal,selection,EyeColor,No
i130.pdf,Pt3Line5_EyeColor[3],/Btn,#subform[3],applicant,personal,selection,EyeColor,No
i130.pdf,Pt3Line5_EyeColor[4],/Btn,#subform[3],applicant,personal,selection,EyeColor,No
i130.pdf,Pt3Line5_EyeColor[5],/Btn,#subform[3],applicant,personal,selection,EyeColor,No
i130.pdf,Pt3Line5_EyeColor[6],/Btn,#subform[3],applicant,personal,selection,EyeColor,No
i130.pdf,Pt3Line5_EyeColor[7],/Btn,#subform[3],applicant,personal,selection,EyeColor,No
i130.pdf,Pt3Line5_EyeColor[8],/Btn,#subform[3],applicant,personal,selection,EyeColor,No
i130.pdf,Pt2Line40e_State[0],/Ch,#subform[3],applicant,criminal,,,No
i130.pdf,Pt4Line1_AlienNumber[0],/Tx,#area[6],beneficiary,immigration,,,No
i130.pdf,Pt4Line2_USCISOnlineActNumber[0],/Tx,#area[7],family_member,office,,,No
i130.pdf,Pt4Line4a_FamilyName[0],/Tx,#subform[4],beneficiary,personal,,,No
i130.pdf,Pt4Line4b_GivenName[0],/Tx,#subform[4],beneficiary,personal,,,No
i130.pdf,Pt4Line4c_MiddleName[0],/Tx,#subform[4],beneficiary,personal,,,No
i130.pdf,P4Line5a_FamilyName[0],/Tx,#subform[4],beneficiary,personal,,,No
i130.pdf,Pt4Line5b_GivenName[0],/Tx,#subform[4],beneficiary,personal,,,No
i130.pdf,Pt4Line5c_MiddleName[0],/Tx,#subform[4],beneficiary,personal,,,No
i130.pdf,Pt4Line7_CityTownOfBirth[0],/Tx,#subform[4],beneficiary,personal,,,No
i130.pdf,Pt4Line8_CountryOfBirth[0],/Tx,#subform[4],beneficiary,personal,,,No
i130.pdf,Pt4Line11_Province[0],/Tx,#subform[4],beneficiary,medical,,,No
i130.pdf,Pt4Line11_PostalCode[0],/Tx,#subform[4],beneficiary,medical,,,No
i130.pdf,Pt4Line11_Country[0],/Tx,#subform[4],beneficiary,medical,,,No
i130.pdf,Pt4Line12a_StreetNumberName[0],/Tx,#subform[4],beneficiary,office,,,No
i130.pdf,Pt4Line12b_Unit[0],/Btn,#subform[4],beneficiary,office,selection,Unit,No
i130.pdf,Pt4Line12b_Unit[1],/Btn,#subform[4],beneficiary,office,selection,Unit,No
i130.pdf,Pt4Line12b_Unit[2],/Btn,#subform[4],beneficiary,office,selection,Unit,No
i130.pdf,Pt4Line12b_AptSteFlrNumber[0],/Tx,#subform[4],beneficiary,office,,,No
i130.pdf,Pt4Line12c_CityOrTown[0],/Tx,#subform[4],beneficiary,office,,,No
i130.pdf,Pt4Line12e_ZipCode[0],/Tx,#subform[4],beneficiary,office,,,No
i130.pdf,Pt4Line12d_State[0],/Ch,#subform[4],beneficiary,office,,,No
i130.pdf,Pt4Line13_PostalCode[0],/Tx,#subform[4],beneficiary,office,,,No
i130.pdf,Pt4Line13_AptSteFlrNumber[0],/Tx,#subform[4],beneficiary,office,,,No
i130.pdf,Pt4Line13_Unit[0],/Btn,#subform[4],beneficiary,office,selection,Unit,No
i130.pdf,Pt4Line13_Unit[1],/Btn,#subform[4],beneficiary,office,selection,Unit,No
i130.pdf,Pt4Line13_Unit[2],/Btn,#subform[4],beneficiary,office,selection,Unit,No
i130.pdf,Pt4Line13_StreetNumberName[0],/Tx,#subform[4],beneficiary,office,,,No
i130.pdf,Pt4Line13_CityOrTown[0],/Tx,#subform[4],beneficiary,office,,,No
i130.pdf,Pt4Line13_Country[0],/Tx,#subform[4],beneficiary,immigration,,,No
i130.pdf,Pt4Line13_Province[0],/Tx,#subform[4],beneficiary,office,,,No
i130.pdf,Pt4Line11_StreetNumberName[0],/Tx,#subform[4],beneficiary,medical,,,No
i130.pdf,Pt4Line11_Unit[0],/Btn,#subform[4],beneficiary,medical,selection,Unit,No
i130.pdf,Pt4Line11_Unit[1],/Btn,#subform[4],beneficiary,medical,selection,Unit,No
i130.pdf,Pt4Line11_Unit[2],/Btn,#subform[4],beneficiary,medical,selection,Unit,No
i130.pdf,Pt4Line11_AptSteFlrNumber[0],/Tx,#subform[4],beneficiary,medical,,,No
i130.pdf,Pt4Line11_CityOrTown[0],/Tx,#subform[4],beneficiary,medical,,,No
i130.pdf,Pt4Line11_ZipCode[0],/Tx,#subform[4],beneficiary,medical,,,No
i130.pdf,Pt4Line11_State[0],/Ch,#subform[4],beneficiary,medical,,,No
i130.pdf,Pt4Line9_DateOfBirth[0],/Tx,#subform[4],beneficiary,personal,,,No
i130.pdf,Pt4Line9_Male[0],/Btn,#subform[4],beneficiary,personal,selection,Male,No
i130.pdf,Pt4Line9_Female[0],/Btn,#subform[4],beneficiary,personal,selection,Female,No
i130.pdf,Pt3Line6_HairColor[0],/Btn,#subform[4],applicant,personal,selection,HairColor,No
i130.pdf,Pt3Line6_HairColor[1],/Btn,#subform[4],applicant,personal,selection,HairColor,No
i130.pdf,Pt3Line6_HairColor[2],/Btn,#subform[4],applicant,personal,selection,HairColor,No
i130.pdf,Pt3Line6_HairColor[3],/Btn,#subform[4],applicant,personal,selection,HairColor,No
i130.pdf,Pt3Line6_HairColor[4],/Btn,#subform[4],applicant,personal,selection,HairColor,No
i130.pdf,Pt3Line6_HairColor[5],/Btn,#subform[4],applicant,personal,selection,HairColor,No
i130.pdf,Pt3Line6_HairColor[6],/Btn,#subform[4],applicant,personal,selection,HairColor,No
i130.pdf,Pt3Line6_HairColor[7],/Btn,#subform[4],applicant,personal,selection,HairColor,No
i130.pdf,Pt3Line6_HairColor[8],/Btn,#subform[4],applicant,personal,selection,HairColor,No
i130.pdf,Pt4Line10_Yes[0],/Btn,#subform[4],beneficiary,office,boolean,True,No
i130.pdf,Pt4Line10_No[0],/Btn,#subform[4],beneficiary,office,selection,No,No
i130.pdf,Pt4Line10_Unknown[0],/Btn,#subform[4],beneficiary,office,selection,Unknown,No
i130.pdf,Pt4Line14_DaytimePhoneNumber[0],/Tx,#subform[4],beneficiary,personal,,,No
i130.pdf,Pt4Line3_SSN[0],/Tx,#subform[4],beneficiary,personal,,,No
i130.pdf,Pt4Line20c_Province[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line17_NumberofMarriages[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line18_MaritalStatus[0],/Btn,#subform[5],beneficiary,personal,selection,MaritalStatus,No
i130.pdf,Pt4Line18_MaritalStatus[1],/Btn,#subform[5],beneficiary,personal,selection,MaritalStatus,No
i130.pdf,Pt4Line18_MaritalStatus[2],/Btn,#subform[5],beneficiary,personal,selection,MaritalStatus,No
i130.pdf,Pt4Line18_MaritalStatus[3],/Btn,#subform[5],beneficiary,personal,selection,MaritalStatus,No
i130.pdf,Pt4Line18_MaritalStatus[4],/Btn,#subform[5],beneficiary,personal,selection,MaritalStatus,No
i130.pdf,Pt4Line18_MaritalStatus[5],/Btn,#subform[5],beneficiary,personal,selection,MaritalStatus,No
i130.pdf,Pt4Line15_MobilePhoneNumber[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line16_EmailAddress[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line19_DateOfMarriage[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line18a_FamilyName[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line18b_GivenName[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line18c_MiddleName[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line16a_FamilyName[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line16b_GivenName[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line16c_MiddleName[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line17_DateMarriageEnded[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line17_DateMarriageEnded[1],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line31_Relationship[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line30a_FamilyName[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line30b_GivenName[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line30c_MiddleName[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line32_DateOfBirth[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line49_CountryOfBirth[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line35_Relationship[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line36_DateOfBirth[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line37_CountryOfBirth[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line34a_FamilyName[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line34b_GivenName[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line34c_MiddleName[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line38b_GivenName[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line38c_MiddleName[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line38a_FamilyName[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line41_CountryOfBirth[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line40_DateOfBirth[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line39_Relationship[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line20a_CityTown[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line20b_State[0],/Ch,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line20d_Country[0],/Tx,#subform[5],beneficiary,personal,,,No
i130.pdf,Pt4Line42c_MiddleName[0],/Tx,#subform[6],beneficiary,personal,,,No
i130.pdf,Pt4Line42b_GivenName[0],/Tx,#subform[6],beneficiary,personal,,,No
i130.pdf,Pt4Line42a_FamilyName[0],/Tx,#subform[6],beneficiary,personal,,,No
i130.pdf,Pt4Line45_CountryOfBirth[0],/Tx,#subform[6],beneficiary,personal,,,No
i130.pdf,Pt4Line44_DateOfBirth[0],/Tx,#subform[6],beneficiary,personal,,,No
i130.pdf,Pt4Line43_Relationship[0],/Tx,#subform[6],beneficiary,personal,,,No
i130.pdf,Pt4Line46a_FamilyName[0],/Tx,#subform[6],beneficiary,personal,,,No
i130.pdf,Pt4Line46b_GivenName[0],/Tx,#subform[6],beneficiary,personal,,,No
i130.pdf,Pt4Line46c_MiddleName[0],/Tx,#subform[6],beneficiary,personal,,,No
i130.pdf,Pt4Line47_Relationship[0],/Tx,#subform[6],beneficiary,personal,,,No
i130.pdf,Pt4Line49_CountryOfBirth[1],/Tx,#subform[6],beneficiary,personal,,,No
i130.pdf,Pt4Line48_DateOfBirth[0],/Tx,#subform[6],beneficiary,personal,,,No
i130.pdf,Pt4Line20_Yes[0],/Btn,#subform[6],beneficiary,office,boolean,True,No
i130.pdf,Pt4Line20_No[0],/Btn,#subform[6],beneficiary,office,selection,No,No
i130.pdf,Pt4Line21d_DateExpired[0],/Tx,#subform[6],beneficiary,office,,,No
i130.pdf,Pt4Line21a_ClassOfAdmission[0],/Ch,#subform[6],beneficiary,office,,,No
i130.pdf,Pt4Line21b_ArrivalDeparture[0],/Tx,#area[8],beneficiary,office,,,No
i130.pdf,Pt4Line21c_DateOfArrival[0],/Tx,#subform[6],beneficiary,office,,,No
i130.pdf,Pt4Line22_PassportNumber[0],/Tx,#subform[6],beneficiary,immigration,,,No
i130.pdf,Pt4Line23_TravelDocNumber[0],/Tx,#subform[6],beneficiary,office,,,No
i130.pdf,Pt4Line24_CountryOfIssuance[0],/Tx,#subform[6],beneficiary,immigration,,,No
