field_name,form,type,readonly,required,page,has_parent,has_children
Pt1Line17_YN[0],i485.pdf,/Btn,False,False,None,True,False
Pt1Line17_YN[1],i485.pdf,/Btn,False,False,None,True,False
Pt1Line18_PassportNum[0],i485.pdf,/Tx,False,False,None,True,False
Pt2Line19_TravelDoc[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line20_ExpDate[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line21_Passport[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line22_VisaNum[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line23a_CityTown[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line23b_State[0],i485.pdf,/Ch,False,False,None,True,False
Pt1Line24_Date[0],i485.pdf,/Tx,False,False,None,True,False
#subform[1],i485.pdf,None,False,False,None,True,True
Pt1Line10_AlienNumber[3],i485.pdf,/Tx,True,False,None,True,False
Pt1Line25b_ParoleEntrance[0],i485.pdf,/Tx,True,False,None,True,False
Pt1Line25a_CB[0],i485.pdf,/Btn,False,False,None,True,False
Pt1Line25b_CB[0],i485.pdf,/Btn,False,False,None,True,False
Pt1Line25c_CB[0],i485.pdf,/Btn,False,False,None,True,False
Pt1Line25d_CB[0],i485.pdf,/Btn,False,False,None,True,False
Pt1Line26b_Date[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line26c_Status[0],i485.pdf,/Tx,False,False,None,True,False
P2Line26a_I94[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line25a_AdmissionEntry[0],i485.pdf,/Tx,True,False,None,True,False
Pt2Line25d_other[0],i485.pdf,/Tx,True,False,None,True,False
Pt1Line28a_FamilyName[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line28b_GivenName[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line28c_MiddleName[0],i485.pdf,/Tx,False,False,None,True,False
Pt2Line1_CB[0],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[1],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[2],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[3],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[4],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[5],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[6],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[7],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[8],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[9],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[10],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[11],i485.pdf,/Btn,False,False,None,True,False
Pt1Line27_Status[0],i485.pdf,/Tx,False,False,None,True,False
Pt2Line1_CB[12],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[13],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[14],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[15],i485.pdf,/Btn,False,False,None,True,False
#subform[2],i485.pdf,None,False,False,None,True,True
Pt1Line10_AlienNumber[4],i485.pdf,/Tx,True,False,None,True,False
Pt2Line1_CB[16],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[17],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[18],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[19],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[20],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[21],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[22],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[23],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[24],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[25],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1_CB[26],i485.pdf,/Btn,False,False,None,True,False
Pt2Line1g_OtherEligibility[0],i485.pdf,/Tx,True,False,None,True,False
Pt2Line2_CB[0],i485.pdf,/Btn,False,False,None,True,False
Pt2Line2_CB[1],i485.pdf,/Btn,False,False,None,True,False
Pt2Line3_Receipt[0],i485.pdf,/Tx,False,False,None,True,False
Pt2Line4_Date[0],i485.pdf,/Tx,False,False,None,True,False
Pt2Line5a_FamilyName[0],i485.pdf,/Tx,False,False,None,True,False
Pt2Line5b_GivenName[0],i485.pdf,/Tx,False,False,None,True,False
Pt2Line5c_MiddleName[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line8_AlienNumber[0],i485.pdf,/Tx,False,False,None,True,False
Pt2Line7_Date[0],i485.pdf,/Tx,False,False,None,True,False
Pt2Line9_Date[0],i485.pdf,/Tx,False,False,None,True,False
Pt2Line8_ReceiptNumber[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line1_YN[0],i485.pdf,/Btn,False,False,None,True,False
Pt3Line1_YN[1],i485.pdf,/Btn,False,False,None,True,False
Pt3Line2a_City[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line2b_Country[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line4_Date[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line3_Decision[0],i485.pdf,/Tx,False,False,None,True,False
#subform[3],i485.pdf,None,False,False,None,True,True
Pt1Line10_AlienNumber[5],i485.pdf,/Tx,True,False,None,True,False
Pt3Line5_StreetNumberName[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line5_Unit[0],i485.pdf,/Btn,False,False,None,True,False
Pt3Line5_Unit[1],i485.pdf,/Btn,False,False,None,True,False
Pt3Line5_AptSteFlrNumber[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line5_Unit[2],i485.pdf,/Btn,False,False,None,True,False
Pt3Line5_CityOrTown[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line5_Province[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line5_PostalCode[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line5_ZipCode[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line5_State[0],i485.pdf,/Ch,False,False,None,True,False
Pt3Line5_Country[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line6a_Date[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line6b_Date[0],i485.pdf,/Tx,True,False,None,True,False
Pt3Line7_StreetNumberName[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line7_Unit[0],i485.pdf,/Btn,False,False,None,True,False
Pt3Line7_Unit[1],i485.pdf,/Btn,False,False,None,True,False
Pt3Line7_AptSteFlrNumber[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line7_Unit[2],i485.pdf,/Btn,False,False,None,True,False
Pt3Line7_CityOrTown[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line7_Province[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line7_PostalCode[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line7_ZipCode[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line7_State[0],i485.pdf,/Ch,False,False,None,True,False
Pt3Line7_Country[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line8a_DateFrom[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line8b_DateTo[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line9_StreetNumberName[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line9_Unit[0],i485.pdf,/Btn,False,False,None,True,False
Pt3Line9_Unit[1],i485.pdf,/Btn,False,False,None,True,False
Pt3Line9_AptSteFlrNumber[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line9_Unit[2],i485.pdf,/Btn,False,False,None,True,False
Pt3Line9_CityOrTown[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line9_Province[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line9_PostalCode[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line9_ZipCode[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line9_State[0],i485.pdf,/Ch,False,False,None,True,False
Pt3Line9_Country[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line10a_DateFrom[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line10a_DateTo[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line11_EmployerName[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line12_StreetNumberName[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line12_Unit[0],i485.pdf,/Btn,False,False,None,True,False
Pt3Line12_Unit[1],i485.pdf,/Btn,False,False,None,True,False
Pt3Line12_AptSteFlrNumber[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line12_Unit[2],i485.pdf,/Btn,False,False,None,True,False
Pt3Line12_CityOrTown[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line12_Province[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line12_PostalCode[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line12_ZipCode[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line12_State[0],i485.pdf,/Ch,False,False,None,True,False
Pt3Line12_Country[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line13_EmployerName[0],i485.pdf,/Tx,False,False,None,True,False
#subform[4],i485.pdf,None,False,False,None,True,True
Pt1Line10_AlienNumber[6],i485.pdf,/Tx,True,False,None,True,False
Pt3Line14a_DateFrom[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line14b_DateTo[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line4a_EmployerName[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line16_StreetNumberName[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line16_Unit[0],i485.pdf,/Btn,False,False,None,True,False
Pt3Line16_Unit[1],i485.pdf,/Btn,False,False,None,True,False
Pt3Line16_AptSteFlrNumber[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line16_Unit[2],i485.pdf,/Btn,False,False,None,True,False
Pt3Line16_CityOrTown[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line16_Province[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line16_PostalCode[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line16_ZipCode[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line16_State[0],i485.pdf,/Ch,False,False,None,True,False
Pt3Line16_Country[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line17_EmployerName[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line18a_DateFrom[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line18a_DateTo[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line19_EmployerName[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line20_StreetNumberName[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line20_Unit[0],i485.pdf,/Btn,False,False,None,True,False
Pt3Line20_Unit[1],i485.pdf,/Btn,False,False,None,True,False
Pt3Line20_AptSteFlrNumber[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line20_Unit[2],i485.pdf,/Btn,False,False,None,True,False
Pt3Line20_CityOrTown[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line20_Province[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line20_PostalCode[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line20_ZipCode[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line20_State[0],i485.pdf,/Ch,False,False,None,True,False
Pt3Line20_Country[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line20_EmployerName[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line22a_DateFrom[0],i485.pdf,/Tx,False,False,None,True,False
Pt3Line22a_DateTo[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line1a_FamilyName[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line1b_GivenName[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line1c_MiddleName[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line2a_FamilyName[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line2b_GivenName[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line2c_MiddleName[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line3_DateofBirth[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line4_Gender[0],i485.pdf,/Btn,False,False,None,True,False
Pt4Line4_Gender[1],i485.pdf,/Btn,False,False,None,True,False
Pt4Line5_CityTown[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line6_Country[0],i485.pdf,/Tx,False,False,None,True,False
#subform[5],i485.pdf,None,False,False,None,True,True
Pt1Line10_AlienNumber[7],i485.pdf,/Tx,True,False,None,True,False
Pt4Line8_Country[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line7_CityTown[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line9a_FamilyName[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line9b_GivenName[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line9c_MiddleName[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line11_DateofBirth[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line13_CityTown[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line10a_FamilyName[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line10b_GivenName[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line10c_MiddleName[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line16_Country[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line15_CityTown[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line14_Country[0],i485.pdf,/Tx,False,False,None,True,False
Pt4Line12_Gender[0],i485.pdf,/Btn,False,False,None,True,False
Pt4Line12_Gender[1],i485.pdf,/Btn,False,False,None,True,False
Pt5Line1_MaritalStatus[0],i485.pdf,/Btn,False,False,None,True,False
Pt5Line1_MaritalStatus[1],i485.pdf,/Btn,False,False,None,True,False
Pt5Line1_MaritalStatus[2],i485.pdf,/Btn,False,False,None,True,False
Pt5Line1_MaritalStatus[3],i485.pdf,/Btn,False,False,None,True,False
Pt5Line1_MaritalStatus[4],i485.pdf,/Btn,False,False,None,True,False
Pt5Line1_MaritalStatus[5],i485.pdf,/Btn,False,False,None,True,False
Pt5Line2_YNNA[0],i485.pdf,/Btn,False,False,None,True,False
Pt5Line2_YNNA[1],i485.pdf,/Btn,False,False,None,True,False
Pt5Line2_YNNA[2],i485.pdf,/Btn,False,False,None,True,False
Pt5Line3_TimesMarried[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line4a_FamilyName[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line4b_GivenName[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line4c_MiddleName[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line6_DateofBirth[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line7_Date[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line8c_Country[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line8b_State[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line8a_CityTown[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line5_AlienNumber[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line9c_Country[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line9b_State[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line9a_CityTown[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line10_YN[0],i485.pdf,/Btn,False,False,None,True,False
Pt5Line10_YN[1],i485.pdf,/Btn,False,False,None,True,False
#subform[6],i485.pdf,None,False,False,None,True,True
Pt1Line10_AlienNumber[8],i485.pdf,/Tx,True,False,None,True,False
Pt511a_FamilyName[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line11b_GivenName[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line11c_MiddleName[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line12_DateofBirth[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line13_Date[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line14c_Country[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line14b_State[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line14a_CityTown[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line15_Date[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line16a_CityTown[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line16b_State[0],i485.pdf,/Tx,False,False,None,True,False
Pt5Line16c_Country[0],i485.pdf,/Tx,False,False,None,True,False
Pt6Line1_TotalChildren[0],i485.pdf,/Tx,False,False,None,True,False
Pt6Line2a_FamilyName[0],i485.pdf,/Tx,False,False,None,True,False
Pt6Line2b_GivenName[0],i485.pdf,/Tx,False,False,None,True,False
Pt6Line2c_MiddleName[0],i485.pdf,/Tx,False,False,None,True,False
Pt6Line4_DateofBirth[0],i485.pdf,/Tx,False,False,None,True,False
Pt6Line6_Country[0],i485.pdf,/Tx,False,False,None,True,False
Pt6Line6_YesNo[0],i485.pdf,/Btn,False,False,None,True,False
Pt6Line6_YesNo[1],i485.pdf,/Btn,False,False,None,True,False
Pt6Line3_AlienNumber[0],i485.pdf,/Tx,False,False,None,True,False
Pt6Line7a_FamilyName[0],i485.pdf,/Tx,False,False,None,True,False
Pt6Line7b_GivenName[0],i485.pdf,/Tx,False,False,None,True,False
Pt6Line7c_MiddleName[0],i485.pdf,/Tx,False,False,None,True,False
Pt6Line9_DateofBirth[0],i485.pdf,/Tx,False,False,None,True,False
Pt6Line10_Country[0],i485.pdf,/Tx,False,False,None,True,False
Pt6Line11_YesNo[0],i485.pdf,/Btn,False,False,None,True,False
Pt6Line11_YesNo[1],i485.pdf,/Btn,False,False,None,True,False
Pt6Line8_AlienNumber[0],i485.pdf,/Tx,False,False,None,True,False
#subform[7],i485.pdf,None,False,False,None,True,True
Pt1Line10_AlienNumber[9],i485.pdf,/Tx,True,False,None,True,False
Pt6Line12a_FamilyName[0],i485.pdf,/Tx,False,False,None,True,False
Pt6Line12b_GivenName[0],i485.pdf,/Tx,False,False,None,True,False
Pt6Line12c_MiddleName[0],i485.pdf,/Tx,False,False,None,True,False
Pt6Line14_DateofBirth[0],i485.pdf,/Tx,False,False,None,True,False
Pt6Line15_Country[0],i485.pdf,/Tx,False,False,None,True,False
Pt6Line16_YesNo[0],i485.pdf,/Btn,False,False,None,True,False
Pt6Line16_YesNo[1],i485.pdf,/Btn,False,False,None,True,False
Pt7Line1_Ethnicity[0],i485.pdf,/Btn,False,False,None,True,False
Pt7Line1_Ethnicity[1],i485.pdf,/Btn,False,False,None,True,False
Pt7Line2_Race[0],i485.pdf,/Btn,False,False,None,True,False
Pt7Line2_Race[1],i485.pdf,/Btn,False,False,None,True,False
Pt7Line2_Race[2],i485.pdf,/Btn,False,False,None,True,False
Pt7Line2_Race[3],i485.pdf,/Btn,False,False,None,True,False
Pt7Line2_Race[4],i485.pdf,/Btn,False,False,None,True,False
Pt6Line13_AlienNumber[0],i485.pdf,/Tx,False,False,None,True,False
Pt7Line3_HeightFeet[0],i485.pdf,/Ch,False,False,None,True,False
Pt7Line3_HeightInches[0],i485.pdf,/Ch,False,False,None,True,False
Pt7Line4_Weight1[0],i485.pdf,/Tx,False,False,None,True,False
Pt7Line4_Weight2[0],i485.pdf,/Tx,False,False,None,True,False
Pt7Line4_Weight3[0],i485.pdf,/Tx,False,False,None,True,False
Pt7Line5_Eyecolor[0],i485.pdf,/Btn,False,False,None,True,False
Pt7Line5_Eyecolor[1],i485.pdf,/Btn,False,False,None,True,False
Pt7Line5_Eyecolor[2],i485.pdf,/Btn,False,False,None,True,False
Pt7Line5_Eyecolor[3],i485.pdf,/Btn,False,False,None,True,False
Pt7Line5_Eyecolor[4],i485.pdf,/Btn,False,False,None,True,False
Pt7Line5_Eyecolor[5],i485.pdf,/Btn,False,False,None,True,False
Pt7Line5_Eyecolor[6],i485.pdf,/Btn,False,False,None,True,False
Pt7Line5_Eyecolor[7],i485.pdf,/Btn,False,False,None,True,False
Pt7Line5_Eyecolor[8],i485.pdf,/Btn,False,False,None,True,False
Pt7Line6_Haircolor[0],i485.pdf,/Btn,False,False,None,True,False
Pt7Line6_Haircolor[1],i485.pdf,/Btn,False,False,None,True,False
Pt7Line6_Haircolor[2],i485.pdf,/Btn,False,False,None,True,False
Pt7Line6_Haircolor[3],i485.pdf,/Btn,False,False,None,True,False
Pt7Line6_Haircolor[4],i485.pdf,/Btn,False,False,None,True,False
Pt7Line6_Haircolor[5],i485.pdf,/Btn,False,False,None,True,False
Pt7Line6_Haircolor[6],i485.pdf,/Btn,False,False,None,True,False
Pt7Line6_Haircolor[7],i485.pdf,/Btn,False,False,None,True,False
Pt7Line6_Haircolor[8],i485.pdf,/Btn,False,False,None,True,False
Pt8Line1_YesNo[0],i485.pdf,/Btn,False,False,None,True,False
Pt8Line1_YesNo[1],i485.pdf,/Btn,False,False,None,True,False
Pt8Line2_OrgName[0],i485.pdf,/Tx,False,False,None,True,False
Pt8Line3c_Country[0],i485.pdf,/Tx,False,False,None,True,False
Pt8Line3b_State[0],i485.pdf,/Tx,False,False,None,True,False
Pt8Line3a_CityTown[0],i485.pdf,/Tx,False,False,None,True,False
Pt8Line4_Group[0],i485.pdf,/Tx,False,False,None,True,False
Pt8Line5a_DateFrom[0],i485.pdf,/Tx,False,False,None,True,False
Pt8Line5b_DateTo[0],i485.pdf,/Tx,False,False,None,True,False
Pt8Line6_OrgName[0],i485.pdf,/Tx,False,False,None,True,False
Pt8Line7c_Country[0],i485.pdf,/Tx,False,False,None,True,False
Pt8Line7b_State[0],i485.pdf,/Tx,False,False,None,True,False
Pt8Line8a_CityTown[0],i485.pdf,/Tx,False,False,None,True,False
Pt8Line8_Group[0],i485.pdf,/Tx,False,False,None,True,False
#subform[8],i485.pdf,None,False,False,None,True,True
Pt1Line10_AlienNumber[10],i485.pdf,/Tx,True,False,None,True,False
Pt8Line9a_DateFrom[0],i485.pdf,/Tx,False,False,None,True,False
Pt8Line9b_DateTo[0],i485.pdf,/Tx,False,False,None,True,False
Pt8Line10_OrgName[0],i485.pdf,/Tx,False,False,None,True,False
Pt8Line11a_CityTown[0],i485.pdf,/Tx,False,False,None,True,False
Pt8Line11c_Country[0],i485.pdf,/Tx,False,False,None,True,False
Pt8Line12_Group[0],i485.pdf,/Tx,False,False,None,True,False
Pt8Line11b_State[0],i485.pdf,/Tx,False,False,None,True,False
Pt8Line13a_DateFrom[0],i485.pdf,/Tx,False,False,None,True,False
Pt8Line13b_DateTo[0],i485.pdf,/Tx,False,False,None,True,False
Pt8Line14_YesNo[0],i485.pdf,/Btn,False,False,None,True,False
Pt8Line14_YesNo[1],i485.pdf,/Btn,False,False,None,True,False
Pt8Line15_YesNo[0],i485.pdf,/Btn,False,False,None,True,False
