Field_Name,Tooltip,Field_Type,Needs_Review,Confidence,Part,Part_Num,Line,Subline,Base_Field_Type,Position,Domains,Personas,Biographical_Subcategories
Pt2Line15b_DateTo[0],"Part 2. Information About You (Petitioner). Address History. Physical Address 2. 15. B. Enter Date To. Enter as 2 digit month, 2 digit day and 4 digit year.",DateTo,False,1.8,Part 2,2,Line 15,b,DateTo,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line16_NumberofMarriages[0],Part 2. Information About You (Petitioner). Your Marital Information. 16. How many times have you been married? Enter Number of Times Married.,NumberofMarriages,False,1.8,Part 2,2,Line 16,,NumberofMarriages,0,biographical(1.8),applicant(2.0),marital_status(1.8)
Pt2Line17_Annulled[0],Part 2. Information About You (Petitioner). Your Marital Information. 17. Current Marital Status. Select Annulled.,Annulled,False,1.8,Part 2,2,Line 17,,Annulled,0,biographical(1.8); immigration(1.8),applicant(2.0),unknown(0.0)
Pt2Line17_Divorced[0],Part 2. Information About You (Petitioner). Your Marital Information. 17. Current Marital Status. Select Divorced.,Divorced,False,1.8,Part 2,2,Line 17,,Divorced,0,biographical(1.8); immigration(1.8),applicant(2.0),marital_status(1.8)
Pt2Line17_Married[0],Part 2. Information About You (Petitioner). Your Marital Information. 17. Current Marital Status. Select Married.,Married,False,1.8,Part 2,2,Line 17,,Married,0,biographical(1.8); immigration(1.8),applicant(2.0),marital_status(1.8)
Pt2Line17_Separated[0],Part 2. Information About You (Petitioner). Your Marital Information. 17. Current Marital Status. Select Separated.,Separated,False,1.8,Part 2,2,Line 17,,Separated,0,biographical(1.8); immigration(1.8),applicant(2.0),unknown(0.0)
Pt2Line17_Single[0],"Part 2. Information About You (Petitioner). Your Marital Information. 17. Current Marital Status. Select Single, Never Married.",Single,False,1.8,Part 2,2,Line 17,,Single,0,biographical(1.8); immigration(1.8),applicant(2.0),marital_status(1.8)
Pt2Line17_Widowed[0],Part 2. Information About You (Petitioner). Your Marital Information. 17. Current Marital Status. Select Widowed.,Widowed,False,1.8,Part 2,2,Line 17,,Widowed,0,biographical(1.8); immigration(1.8),applicant(2.0),marital_status(1.8)
Pt2Line18_DateOfMarriage[0],"Part 2. Information About You (Petitioner). Your Marital Information. 18. Enter Date of Current Marriage (if currently married). Enter as 2 digit month, 2 digit day and 4 digit year.",DateOfMarriage,False,1.8,Part 2,2,Line 18,,DateOfMarriage,0,biographical(1.8),applicant(2.0),marital_status(1.8)
Pt2Line19a_CityTown[0],"Part 2. Information About You (Petitioner). Place of Your Current Marriage, if married. 19. A. Enter City or Town.",CityTown,False,0.0,Part 2,2,Line 19,a,CityTown,0,unknown(0.0),applicant(2.0),contact_info(1.6); marital_status(1.8)
Pt2Line19b_State[0],"Part 2. Information About You (Petitioner). Place of Your Current Marriage, if married. 19. B. Select State from List of States.",State,False,0.0,Part 2,2,Line 19,b,State,0,unknown(0.0),applicant(2.0),contact_info(1.6); marital_status(1.8)
Pt2Line19c_Province[0],"Part 2. Information About You (Petitioner). Place of Your Current Marriage, if married. 19. C. Enter Province.",Province,False,0.0,Part 2,2,Line 19,c,Province,0,unknown(0.0),applicant(2.0),marital_status(1.8)
Pt2Line19d_Country[0],"Part 2. Information About You (Petitioner). Place of Your Current Marriage, if married. 19. D. Enter Country.",Country,False,0.0,Part 2,2,Line 19,d,Country,0,unknown(0.0),applicant(2.0),marital_status(1.8)
Pt2Line1_AlienNumber[0],"Part 2. Information About You (Petitioner). 1. Enter Alien Registration Number (A. Number), if any.",AlienNumber,False,1.8,Part 2,2,Line 1,,AlienNumber,0,immigration(1.8),applicant(2.0),unknown(0.0)
Pt2Line1_AlienNumber[1],"Part 9. Additional Information. 2. Alien Registration Number (A. Number), if any. This is a read only field. This field pre-populates from page 1.",AlienNumber,False,1.8,Part 2,2,Line 1,,AlienNumber,1,immigration(1.8),unknown(0.0),unknown(0.0)
Pt2Line20b_GivenName[0],"Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 1. 20. B. Enter Given Name (First Name).",GivenName,False,1.8,Part 2,2,Line 20,b,GivenName,0,biographical(1.8),applicant(2.0); family(1.8),core_identity(1.8); family_info(1.8); marital_status(1.8)
Pt2Line20c_MiddleName[0],"Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 1. 20. C. Enter Middle Name.",MiddleName,False,1.8,Part 2,2,Line 20,c,MiddleName,0,biographical(1.8),applicant(2.0); family(1.8),core_identity(1.8); family_info(1.8); marital_status(1.8)
Pt2Line21_DateMarriageEnded[0],"Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 1. 21. Enter Date Marriage Ended. Enter as 2 digit month, 2 digit day and 4 digit year.",DateMarriageEnded,False,1.8,Part 2,2,Line 21,,DateMarriageEnded,0,biographical(1.8),applicant(2.0); family(1.8),core_identity(1.8); family_info(1.8); marital_status(1.8)
Pt2Line22a_FamilyName[0],"Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 2. 22. A. Enter Family Name (Last Name).",FamilyName,False,1.8,Part 2,2,Line 22,a,FamilyName,0,biographical(1.8),applicant(2.0); family(1.8),core_identity(1.8); family_info(1.8); marital_status(1.8)
Pt2Line22b_GivenName[0],"Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 2. 22. B. Enter Given Name (First Name).",GivenName,False,1.8,Part 2,2,Line 22,b,GivenName,0,biographical(1.8),applicant(2.0); family(1.8),core_identity(1.8); family_info(1.8); marital_status(1.8)
Pt2Line22c_MiddleName[0],"Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 2. 22. C. Enter Middle Name.",MiddleName,False,1.8,Part 2,2,Line 22,c,MiddleName,0,biographical(1.8),applicant(2.0); family(1.8),core_identity(1.8); family_info(1.8); marital_status(1.8)
Pt2Line23_DateMarriageEnded[0],"Part 2. Information About You (Petitioner). Names of All Your Spouses, if any. Spouse 2. 23. Enter Date Marriage Ended. Enter as 2 digit month, 2 digit day and 4 digit year.",DateMarriageEnded,False,1.8,Part 2,2,Line 23,,DateMarriageEnded,0,biographical(1.8),applicant(2.0); family(1.8),core_identity(1.8); family_info(1.8); marital_status(1.8)
Pt2Line23a_checkbox[0],"Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). If you are a U.S. citizen, complete Item Number 37. 37. My citizenship was acquired through (Select only one box). Select Birth in the United States.",checkbox,False,1.8,Part 2,2,Line 23,a,checkbox,0,biographical(1.8),applicant(2.0),core_identity(1.8); contact_info(1.6)
Pt2Line23b_checkbox[0],Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). 37. My citizenship was acquired through (Select only one box). Select Naturalization.,checkbox,False,0.0,Part 2,2,Line 23,b,checkbox,0,unknown(0.0),applicant(2.0),unknown(0.0)
Pt2Line23c_checkbox[0],Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). 37. My citizenship was acquired through (Select only one box). Select Parents.,checkbox,False,0.0,Part 2,2,Line 23,c,checkbox,0,unknown(0.0),applicant(2.0); family(1.8),family_info(1.8)
Pt2Line24_FamilyName[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. Full Name of Parent One. 24. A. Enter Family Name (Last Name).,FamilyName,False,1.8,Part 2,2,Line 24,,FamilyName,0,biographical(1.8),applicant(2.0); family(1.8),core_identity(1.8); family_info(1.8)
Pt2Line24_GivenName[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. Full Name of Parent One. 24. B. Enter Given Name (First Name).,GivenName,False,1.8,Part 2,2,Line 24,,GivenName,0,biographical(1.8),applicant(2.0); family(1.8),core_identity(1.8); family_info(1.8)
Pt2Line24_MiddleName[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. Full Name of Parent One. 24. C. Enter Middle Name.,MiddleName,False,1.8,Part 2,2,Line 24,,MiddleName,0,biographical(1.8),applicant(2.0); family(1.8),core_identity(1.8); family_info(1.8)
Pt2Line25_DateofBirth[0],"Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. 25. Enter Date of Birth. Enter as 2 digit month, 2 digit day and 4 digit year.",DateofBirth,False,1.8,Part 2,2,Line 25,,DateofBirth,0,biographical(1.8),applicant(2.0); family(1.8),core_identity(1.8); family_info(1.8)
Pt2Line26_Female[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. 26. Sex. Select Female.,Female,False,0.0,Part 2,2,Line 26,,Female,0,unknown(0.0),applicant(2.0); family(1.8),family_info(1.8)
Pt2Line26_Male[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. 26. Sex. Select Male.,Male,False,0.0,Part 2,2,Line 26,,Male,0,unknown(0.0),applicant(2.0); family(1.8),family_info(1.8)
Pt2Line27_CountryofBirth[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. 27. Enter Country of Birth.,CountryofBirth,False,1.8,Part 2,2,Line 27,,CountryofBirth,0,biographical(1.8),applicant(2.0); family(1.8),core_identity(1.8); family_info(1.8)
Pt2Line28_CityTownOrVillageOfResidence[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. 28. Enter City / Town / Village of Residence.,CityTownOrVillageOfResidence,False,0.0,Part 2,2,Line 28,,CityTownOrVillageOfResidence,0,unknown(0.0),applicant(2.0); family(1.8),contact_info(1.6); family_info(1.8)
Pt2Line29_CountryOfResidence[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent One's Information. 29. Enter Country of Residence.,CountryOfResidence,False,0.0,Part 2,2,Line 29,,CountryOfResidence,0,unknown(0.0),applicant(2.0); family(1.8),family_info(1.8)
Pt2Line2_USCISOnlineActNumber[0],"Part 2. Information About You (Petitioner). 2. Enter U S C I S Online Account Number, if any.",USCISOnlineActNumber,False,0.0,Part 2,2,Line 2,,USCISOnlineActNumber,0,unknown(0.0),applicant(2.0),unknown(0.0)
Pt2Line30a_FamilyName[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent Two's Information. Full Name of Parent Two. 30. A. Enter Family Name (Last Name).,FamilyName,False,1.8,Part 2,2,Line 30,a,FamilyName,0,biographical(1.8),applicant(2.0); family(1.8),core_identity(1.8); family_info(1.8)
Pt2Line30b_GivenName[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent Two's Information. Full Name of Parent Two. 30. B. Enter Given Name (First Name).,GivenName,False,1.8,Part 2,2,Line 30,b,GivenName,0,biographical(1.8),applicant(2.0); family(1.8),core_identity(1.8); family_info(1.8)
Pt2Line30c_MiddleName[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent Two's Information. Full Name of Parent Two. 30. C. Enter Middle Name.,MiddleName,False,1.8,Part 2,2,Line 30,c,MiddleName,0,biographical(1.8),applicant(2.0); family(1.8),core_identity(1.8); family_info(1.8)
Pt2Line31_DateofBirth[0],"Part 2. Information About You (Petitioner). Information About Your Parents. Parent Two's Information. 31. Enter Date of Birth. Enter as 2 digit month, 2 digit day and 4 digit year.",DateofBirth,False,1.8,Part 2,2,Line 31,,DateofBirth,0,biographical(1.8),applicant(2.0); family(1.8),core_identity(1.8); family_info(1.8)
Pt2Line32_Female[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent Two's Information. 32. Sex. Select Female.,Female,False,0.0,Part 2,2,Line 32,,Female,0,unknown(0.0),applicant(2.0); family(1.8),family_info(1.8)
Pt2Line32_Male[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent Two's Information. 32. Sex. Select Male.,Male,False,0.0,Part 2,2,Line 32,,Male,0,unknown(0.0),applicant(2.0); family(1.8),family_info(1.8)
Pt2Line33_CountryofBirth[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent Two's Information. 33. Enter Country of Birth.,CountryofBirth,False,1.8,Part 2,2,Line 33,,CountryofBirth,0,biographical(1.8),applicant(2.0); family(1.8),core_identity(1.8); family_info(1.8)
Pt2Line34_CityTownOrVillageOfResidence[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent Two's Information. 34. Enter City / Town / Village of Residence.,CityTownOrVillageOfResidence,False,0.0,Part 2,2,Line 34,,CityTownOrVillageOfResidence,0,unknown(0.0),applicant(2.0); family(1.8),contact_info(1.6); family_info(1.8)
Pt2Line35_CountryOfResidence[0],Part 2. Information About You (Petitioner). Information About Your Parents. Parent Two's Information. 35. Enter Country of Residence.,CountryOfResidence,False,0.0,Part 2,2,Line 35,,CountryOfResidence,0,unknown(0.0),applicant(2.0); family(1.8),family_info(1.8)
Pt2Line36_LPR[0],Part 2. Information About You (Petitioner). Additional Information About You (Petitioner). 36. I am a (Select only one box). Select Lawful Permanent Resident.,LPR,False,0.0,Part 2,2,Line 36,,LPR,0,unknown(0.0),applicant(2.0),unknown(0.0)
